,Player No,Player Name,Position,Total ABS,Attack Points,Block Points,Serve Points,Errors, Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
11,14,Schölzel Marie ,MB,0,0,0,0,,,GER,SCORING,4,25,16024,1
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,4,25,16024,1
13,25,Maase Rica ,O,0,0,0,0,,,GER,SCORING,4,25,16024,1
0,16,Baijens Indy ,MB,17,14,3,0,,10.87,NED,SCORING,0,0,16024,
1,5,Knollema Jolien ,OH,13,11,2,0,,21.28,NED,SCORING,0,0,16024,
2,23,Timmerman Eline ,MB,13,10,2,1,,11.63,NED,SCORING,0,0,16024,
3,33,Marring Nova ,OH,10,8,0,2,,23.33,NED,SCORING,0,0,16024,
4,26,Dambrink Elles ,O,6,5,0,1,,0.00,NED,SCORING,0,0,16024,
5,3,Jasper Hester ,OH,5,5,0,0,,-10.34,NED,SCORING,0,0,16024,
6,24,Mulder Vera ,OH,5,4,0,1,,0.00,NED,SCORING,0,0,16024,
7,10,van Aalen Sarah ,S,1,1,0,0,,-12.50,NED,SCORING,0,0,16024,
8,14,Dijkema Laura (C),S,1,0,0,1,,0.00,NED,SCORING,0,0,16024,
9,1,Knip Kirsten ,L,0,0,0,0,,,NED,SCORING,0,0,16024,
10,13,de Haan Jolijn ,O,0,0,0,0,,,NED,SCORING,0,0,16024,
11,17,Vos Iris ,OH,0,0,0,0,,0.00,NED,SCORING,0,0,16024,
12,21,Stuut Britte ,MB,0,0,0,0,,0.00,NED,SCORING,0,0,16024,
13,25,Reesink Florien ,L,0,0,0,0,,,NED,SCORING,0,0,16024,
0,5,Knollema Jolien ,OH,4,4,0,0,,30.77,NED,SCORING,1,21,16024,0
1,16,Baijens Indy ,MB,4,4,0,0,,-7.14,NED,SCORING,1,21,16024,0
2,23,Timmerman Eline ,MB,3,2,1,0,,0.00,NED,SCORING,1,21,16024,0
3,26,Dambrink Elles ,O,3,2,0,1,,25.00,NED,SCORING,1,21,16024,0
4,3,Jasper Hester ,OH,1,1,0,0,,-25.00,NED,SCORING,1,21,16024,0
5,14,Dijkema Laura (C),S,1,0,0,1,,11.11,NED,SCORING,1,21,16024,0
6,1,Knip Kirsten ,L,0,0,0,0,,,NED,SCORING,1,21,16024,0
7,10,van Aalen Sarah ,S,0,0,0,0,,,NED,SCORING,1,21,16024,0
8,13,de Haan Jolijn ,O,0,0,0,0,,,NED,SCORING,1,21,16024,0
9,17,Vos Iris ,OH,0,0,0,0,,,NED,SCORING,1,21,16024,0
10,21,Stuut Britte ,MB,0,0,0,0,,,NED,SCORING,1,21,16024,0
11,24,Mulder Vera ,OH,0,0,0,0,,,NED,SCORING,1,21,16024,0
12,25,Reesink Florien ,L,0,0,0,0,,,NED,SCORING,1,21,16024,0
13,33,Marring Nova ,OH,0,0,0,0,,,NED,SCORING,1,21,16024,0
0,16,Baijens Indy ,MB,5,4,1,0,,15.38,NED,SCORING,2,22,16024,0
1,5,Knollema Jolien ,OH,3,3,0,0,,14.29,NED,SCORING,2,22,16024,0
2,23,Timmerman Eline ,MB,3,3,0,0,,22.22,NED,SCORING,2,22,16024,0
3,3,Jasper Hester ,OH,2,2,0,0,,0.00,NED,SCORING,2,22,16024,0
4,24,Mulder Vera ,OH,2,1,0,1,,16.67,NED,SCORING,2,22,16024,0
5,26,Dambrink Elles ,O,2,2,0,0,,12.50,NED,SCORING,2,22,16024,0
6,33,Marring Nova ,OH,2,2,0,0,,25.00,NED,SCORING,2,22,16024,0
7,10,van Aalen Sarah ,S,1,1,0,0,,50.00,NED,SCORING,2,22,16024,0
8,1,Knip Kirsten ,L,0,0,0,0,,,NED,SCORING,2,22,16024,0
9,13,de Haan Jolijn ,O,0,0,0,0,,,NED,SCORING,2,22,16024,0
10,14,Dijkema Laura (C),S,0,0,0,0,,-50.00,NED,SCORING,2,22,16024,0
11,17,Vos Iris ,OH,0,0,0,0,,0.00,NED,SCORING,2,22,16024,0
12,21,Stuut Britte ,MB,0,0,0,0,,,NED,SCORING,2,22,16024,0
13,25,Reesink Florien ,L,0,0,0,0,,,NED,SCORING,2,22,16024,0
0,5,Knollema Jolien ,OH,5,3,2,0,,28.57,NED,SCORING,3,25,16024,1
1,23,Timmerman Eline ,MB,5,4,1,0,,36.36,NED,SCORING,3,25,16024,1
2,16,Baijens Indy ,MB,3,2,1,0,,22.22,NED,SCORING,3,25,16024,1
3,3,Jasper Hester ,OH,2,2,0,0,,-9.09,NED,SCORING,3,25,16024,1
4,33,Marring Nova ,OH,2,1,0,1,,22.22,NED,SCORING,3,25,16024,1
5,24,Mulder Vera ,OH,1,1,0,0,,-16.67,NED,SCORING,3,25,16024,1
6,26,Dambrink Elles ,O,1,1,0,0,,-42.86,NED,SCORING,3,25,16024,1
7,1,Knip Kirsten ,L,0,0,0,0,,,NED,SCORING,3,25,16024,1
8,10,van Aalen Sarah ,S,0,0,0,0,,-33.33,NED,SCORING,3,25,16024,1
9,13,de Haan Jolijn ,O,0,0,0,0,,,NED,SCORING,3,25,16024,1
10,14,Dijkema Laura (C),S,0,0,0,0,,0.00,NED,SCORING,3,25,16024,1
11,17,Vos Iris ,OH,0,0,0,0,,,NED,SCORING,3,25,16024,1
12,21,Stuut Britte ,MB,0,0,0,0,,,NED,SCORING,3,25,16024,1
13,25,Reesink Florien ,L,0,0,0,0,,,NED,SCORING,3,25,16024,1
0,33,Marring Nova ,OH,6,5,0,1,,23.53,NED,SCORING,4,22,16024,0
1,16,Baijens Indy ,MB,5,4,1,0,,20.00,NED,SCORING,4,22,16024,0
2,23,Timmerman Eline ,MB,2,1,0,1,,-14.29,NED,SCORING,4,22,16024,0
3,24,Mulder Vera ,OH,2,2,0,0,,0.00,NED,SCORING,4,22,16024,0
4,5,Knollema Jolien ,OH,1,1,0,0,,0.00,NED,SCORING,4,22,16024,0
5,1,Knip Kirsten ,L,0,0,0,0,,,NED,SCORING,4,22,16024,0
6,3,Jasper Hester ,OH,0,0,0,0,,,NED,SCORING,4,22,16024,0
7,10,van Aalen Sarah ,S,0,0,0,0,,-33.33,NED,SCORING,4,22,16024,0
8,13,de Haan Jolijn ,O,0,0,0,0,,,NED,SCORING,4,22,16024,0
9,14,Dijkema Laura (C),S,0,0,0,0,,,NED,SCORING,4,22,16024,0
10,17,Vos Iris ,OH,0,0,0,0,,,NED,SCORING,4,22,16024,0
11,21,Stuut Britte ,MB,0,0,0,0,,0.00,NED,SCORING,4,22,16024,0
12,25,Reesink Florien ,L,0,0,0,0,,,NED,SCORING,4,22,16024,0
13,26,Dambrink Elles ,O,0,0,0,0,,,NED,SCORING,4,22,16024,0
0,15,Nwakalor Sylvia Chinelo ,O,24,19,4,1,,25.42,ITA,SCORING,0,0,16026,
1,21,Omoruyi Oghosasere Loveth ,OH,22,16,4,2,,24.62,ITA,SCORING,0,0,16026,
2,11,Danesi Anna ,MB,12,9,3,0,,6.25,ITA,SCORING,0,0,16026,
3,2,Degradi Alice Carlotta ,OH,10,7,1,2,,0.00,ITA,SCORING,0,0,16026,
4,16,D'Odorico Sofia ,OH,9,8,1,0,,12.90,ITA,SCORING,0,0,16026,
5,12,Mazzaro Alessia ,MB,8,7,0,1,,8.89,ITA,SCORING,0,0,16026,
6,32,Malual Adhuoljok John Majak ,O,5,4,1,0,,-5.26,ITA,SCORING,0,0,16026,
7,4,Bosio Francesca ,S,3,1,2,0,,0.00,ITA,SCORING,0,0,16026,
8,19,Squarcini Federica ,MB,1,0,0,1,,-16.67,ITA,SCORING,0,0,16026,
9,5,Battistoni Ilaria ,S,0,0,0,0,,0.00,ITA,SCORING,0,0,16026,
10,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,0,0,16026,
11,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,0,0,16026,
12,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,0,0,16026,
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,0,0,16026,
0,15,Nwakalor Sylvia Chinelo ,O,6,6,0,0,,21.43,ITA,SCORING,1,24,16026,0
1,12,Mazzaro Alessia ,MB,4,3,0,1,,30.77,ITA,SCORING,1,24,16026,0
2,21,Omoruyi Oghosasere Loveth ,OH,4,3,1,0,,23.08,ITA,SCORING,1,24,16026,0
3,2,Degradi Alice Carlotta ,OH,2,2,0,0,,-22.22,ITA,SCORING,1,24,16026,0
4,11,Danesi Anna ,MB,2,1,1,0,,14.29,ITA,SCORING,1,24,16026,0
5,4,Bosio Francesca ,S,1,0,1,0,,16.67,ITA,SCORING,1,24,16026,0
6,5,Battistoni Ilaria ,S,0,0,0,0,,0.00,ITA,SCORING,1,24,16026,0
7,16,D'Odorico Sofia ,OH,0,0,0,0,,-25.00,ITA,SCORING,1,24,16026,0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,1,24,16026,0
9,19,Squarcini Federica ,MB,0,0,0,0,,-100.00,ITA,SCORING,1,24,16026,0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,1,24,16026,0
11,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,1,24,16026,0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,-100.00,ITA,SCORING,1,24,16026,0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,1,24,16026,0
0,2,Degradi Alice Carlotta ,OH,5,3,0,2,,5.88,ITA,SCORING,2,25,16026,1
1,11,Danesi Anna ,MB,4,3,1,0,,33.33,ITA,SCORING,2,25,16026,1
2,15,Nwakalor Sylvia Chinelo ,O,3,1,2,0,,0.00,ITA,SCORING,2,25,16026,1
3,21,Omoruyi Oghosasere Loveth ,OH,3,3,0,0,,37.50,ITA,SCORING,2,25,16026,1
4,4,Bosio Francesca ,S,1,0,1,0,,0.00,ITA,SCORING,2,25,16026,1
5,5,Battistoni Ilaria ,S,0,0,0,0,,,ITA,SCORING,2,25,16026,1
6,12,Mazzaro Alessia ,MB,0,0,0,0,,0.00,ITA,SCORING,2,25,16026,1
7,16,D'Odorico Sofia ,OH,0,0,0,0,,,ITA,SCORING,2,25,16026,1
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,2,25,16026,1
9,19,Squarcini Federica ,MB,0,0,0,0,,,ITA,SCORING,2,25,16026,1
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,2,25,16026,1
11,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,2,25,16026,1
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,,ITA,SCORING,2,25,16026,1
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,2,25,16026,1
0,32,Malual Adhuoljok John Majak ,O,5,4,1,0,,21.43,ITA,SCORING,3,27,16026,0
1,21,Omoruyi Oghosasere Loveth ,OH,4,2,1,1,,12.50,ITA,SCORING,3,27,16026,0
2,2,Degradi Alice Carlotta ,OH,3,2,1,0,,7.69,ITA,SCORING,3,27,16026,0
3,11,Danesi Anna ,MB,3,3,0,0,,8.33,ITA,SCORING,3,27,16026,0
4,12,Mazzaro Alessia ,MB,3,3,0,0,,0.00,ITA,SCORING,3,27,16026,0
5,15,Nwakalor Sylvia Chinelo ,O,2,2,0,0,,0.00,ITA,SCORING,3,27,16026,0
6,16,D'Odorico Sofia ,OH,1,1,0,0,,14.29,ITA,SCORING,3,27,16026,0
7,19,Squarcini Federica ,MB,1,0,0,1,,50.00,ITA,SCORING,3,27,16026,0
8,4,Bosio Francesca ,S,0,0,0,0,,-33.33,ITA,SCORING,3,27,16026,0
9,5,Battistoni Ilaria ,S,0,0,0,0,,,ITA,SCORING,3,27,16026,0
10,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,3,27,16026,0
11,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,3,27,16026,0
12,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,3,27,16026,0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,3,27,16026,0
0,15,Nwakalor Sylvia Chinelo ,O,11,9,2,0,,50.00,ITA,SCORING,4,30,16026,1
1,16,D'Odorico Sofia ,OH,5,5,0,0,,12.50,ITA,SCORING,4,30,16026,1
2,21,Omoruyi Oghosasere Loveth ,OH,4,4,0,0,,14.29,ITA,SCORING,4,30,16026,1
3,11,Danesi Anna ,MB,2,1,1,0,,-12.50,ITA,SCORING,4,30,16026,1
4,4,Bosio Francesca ,S,1,1,0,0,,0.00,ITA,SCORING,4,30,16026,1
5,12,Mazzaro Alessia ,MB,1,1,0,0,,0.00,ITA,SCORING,4,30,16026,1
6,2,Degradi Alice Carlotta ,OH,0,0,0,0,,,ITA,SCORING,4,30,16026,1
7,5,Battistoni Ilaria ,S,0,0,0,0,,,ITA,SCORING,4,30,16026,1
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,4,30,16026,1
9,19,Squarcini Federica ,MB,0,0,0,0,,-50.00,ITA,SCORING,4,30,16026,1
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,4,30,16026,1
11,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,4,30,16026,1
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,-75.00,ITA,SCORING,4,30,16026,1
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,4,30,16026,1
0,21,Omoruyi Oghosasere Loveth ,OH,7,4,2,1,,42.86,ITA,SCORING,5,15,16026,1
1,16,D'Odorico Sofia ,OH,3,2,1,0,,50.00,ITA,SCORING,5,15,16026,1
2,15,Nwakalor Sylvia Chinelo ,O,2,1,0,1,,28.57,ITA,SCORING,5,15,16026,1
3,11,Danesi Anna ,MB,1,1,0,0,,0.00,ITA,SCORING,5,15,16026,1
4,2,Degradi Alice Carlotta ,OH,0,0,0,0,,,ITA,SCORING,5,15,16026,1
5,4,Bosio Francesca ,S,0,0,0,0,,0.00,ITA,SCORING,5,15,16026,1
6,5,Battistoni Ilaria ,S,0,0,0,0,,,ITA,SCORING,5,15,16026,1
7,12,Mazzaro Alessia ,MB,0,0,0,0,,0.00,ITA,SCORING,5,15,16026,1
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,,ITA,SCORING,5,15,16026,1
9,19,Squarcini Federica ,MB,0,0,0,0,,0.00,ITA,SCORING,5,15,16026,1
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,,ITA,SCORING,5,15,16026,1
11,22,Panetoni Sara ,L,0,0,0,0,,,ITA,SCORING,5,15,16026,1
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,,ITA,SCORING,5,15,16026,1
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,,ITA,SCORING,5,15,16026,1
0,16,Kokram Pimpichaya ,O,22,21,0,1,,13.89,THA,SCORING,0,0,16026,
1,19,Moksri Chatchu-On ,OH,15,15,0,0,,3.64,THA,SCORING,0,0,16026,
2,18,Kongyot Ajcharaporn ,OH,13,11,2,0,,14.00,THA,SCORING,0,0,16026,
3,5,Nuekjang Thatdao ,MB,10,7,2,1,,5.36,THA,SCORING,0,0,16026,
4,12,Bamrungsuk Hattaya ,MB,8,5,3,0,,-7.14,THA,SCORING,0,0,16026,
5,21,Sooksod Thanacha ,O,5,5,0,0,,13.33,THA,SCORING,0,0,16026,
6,3,Guedpard Pornpun ,S,2,2,0,0,,-4.55,THA,SCORING,0,0,16026,
7,17,Janthawisut Sasipapron ,OH,2,2,0,0,,-22.73,THA,SCORING,0,0,16026,
8,1,Srithong Wipawee ,OH,0,0,0,0,,0.00,THA,SCORING,0,0,16026,
9,2,Pannoy Piyanut (C),L,0,0,0,0,,,THA,SCORING,0,0,16026,
10,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,,THA,SCORING,0,0,16026,
11,20,Pairoj Supattra ,L,0,0,0,0,,,THA,SCORING,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,0,,,THA,SCORING,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,-100.00,THA,SCORING,0,0,16026,
0,12,Bamrungsuk Hattaya ,MB,6,4,2,0,,5.56,THA,SCORING,1,26,16026,1
1,19,Moksri Chatchu-On ,OH,6,6,0,0,,6.67,THA,SCORING,1,26,16026,1
2,16,Kokram Pimpichaya ,O,2,2,0,0,,12.50,THA,SCORING,1,26,16026,1
3,3,Guedpard Pornpun ,S,1,1,0,0,,25.00,THA,SCORING,1,26,16026,1
4,5,Nuekjang Thatdao ,MB,1,1,0,0,,-10.00,THA,SCORING,1,26,16026,1
5,18,Kongyot Ajcharaporn ,OH,1,0,1,0,,0.00,THA,SCORING,1,26,16026,1
6,1,Srithong Wipawee ,OH,0,0,0,0,,0.00,THA,SCORING,1,26,16026,1
7,2,Pannoy Piyanut (C),L,0,0,0,0,,,THA,SCORING,1,26,16026,1
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,,THA,SCORING,1,26,16026,1
9,17,Janthawisut Sasipapron ,OH,0,0,0,0,,,THA,SCORING,1,26,16026,1
10,20,Pairoj Supattra ,L,0,0,0,0,,,THA,SCORING,1,26,16026,1
11,21,Sooksod Thanacha ,O,0,0,0,0,,-100.00,THA,SCORING,1,26,16026,1
12,23,ManaKij Sirima ,S,0,0,0,0,,,THA,SCORING,1,26,16026,1
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,,THA,SCORING,1,26,16026,1
0,16,Kokram Pimpichaya ,O,5,4,0,1,,0.00,THA,SCORING,2,17,16026,0
1,5,Nuekjang Thatdao ,MB,2,1,1,0,,12.50,THA,SCORING,2,17,16026,0
2,18,Kongyot Ajcharaporn ,OH,2,2,0,0,,0.00,THA,SCORING,2,17,16026,0
3,21,Sooksod Thanacha ,O,2,2,0,0,,66.67,THA,SCORING,2,17,16026,0
4,19,Moksri Chatchu-On ,OH,1,1,0,0,,-15.38,THA,SCORING,2,17,16026,0
5,1,Srithong Wipawee ,OH,0,0,0,0,,,THA,SCORING,2,17,16026,0
6,2,Pannoy Piyanut (C),L,0,0,0,0,,,THA,SCORING,2,17,16026,0
7,3,Guedpard Pornpun ,S,0,0,0,0,,-20.00,THA,SCORING,2,17,16026,0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,,THA,SCORING,2,17,16026,0
9,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,-40.00,THA,SCORING,2,17,16026,0
10,17,Janthawisut Sasipapron ,OH,0,0,0,0,,-50.00,THA,SCORING,2,17,16026,0
11,20,Pairoj Supattra ,L,0,0,0,0,,,THA,SCORING,2,17,16026,0
12,23,ManaKij Sirima ,S,0,0,0,0,,,THA,SCORING,2,17,16026,0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,-100.00,THA,SCORING,2,17,16026,0
0,16,Kokram Pimpichaya ,O,8,8,0,0,,15.38,THA,SCORING,3,29,16026,1
1,18,Kongyot Ajcharaporn ,OH,4,3,1,0,,10.00,THA,SCORING,3,29,16026,1
2,19,Moksri Chatchu-On ,OH,4,4,0,0,,33.33,THA,SCORING,3,29,16026,1
3,5,Nuekjang Thatdao ,MB,3,2,0,1,,15.38,THA,SCORING,3,29,16026,1
4,17,Janthawisut Sasipapron ,OH,1,1,0,0,,-12.50,THA,SCORING,3,29,16026,1
5,1,Srithong Wipawee ,OH,0,0,0,0,,0.00,THA,SCORING,3,29,16026,1
6,2,Pannoy Piyanut (C),L,0,0,0,0,,,THA,SCORING,3,29,16026,1
7,3,Guedpard Pornpun ,S,0,0,0,0,,0.00,THA,SCORING,3,29,16026,1
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,,THA,SCORING,3,29,16026,1
9,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,-40.00,THA,SCORING,3,29,16026,1
10,20,Pairoj Supattra ,L,0,0,0,0,,,THA,SCORING,3,29,16026,1
11,21,Sooksod Thanacha ,O,0,0,0,0,,,THA,SCORING,3,29,16026,1
12,23,ManaKij Sirima ,S,0,0,0,0,,,THA,SCORING,3,29,16026,1
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,,THA,SCORING,3,29,16026,1
0,16,Kokram Pimpichaya ,O,6,6,0,0,,26.67,THA,SCORING,4,28,16026,0
1,18,Kongyot Ajcharaporn ,OH,6,6,0,0,,38.46,THA,SCORING,4,28,16026,0
2,5,Nuekjang Thatdao ,MB,3,2,1,0,,13.33,THA,SCORING,4,28,16026,0
3,12,Bamrungsuk Hattaya ,MB,2,1,1,0,,0.00,THA,SCORING,4,28,16026,0
4,19,Moksri Chatchu-On ,OH,2,2,0,0,,-16.67,THA,SCORING,4,28,16026,0
5,1,Srithong Wipawee ,OH,0,0,0,0,,,THA,SCORING,4,28,16026,0
6,2,Pannoy Piyanut (C),L,0,0,0,0,,,THA,SCORING,4,28,16026,0
7,3,Guedpard Pornpun ,S,0,0,0,0,,0.00,THA,SCORING,4,28,16026,0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,,THA,SCORING,4,28,16026,0
9,17,Janthawisut Sasipapron ,OH,0,0,0,0,,-30.00,THA,SCORING,4,28,16026,0
10,20,Pairoj Supattra ,L,0,0,0,0,,,THA,SCORING,4,28,16026,0
11,21,Sooksod Thanacha ,O,0,0,0,0,,,THA,SCORING,4,28,16026,0
12,23,ManaKij Sirima ,S,0,0,0,0,,,THA,SCORING,4,28,16026,0
