,Player No,Player Name,Position,Successful,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
6,5,Ercan Seyma ,OH,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
7,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
8,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
10,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
11,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
0,2,Akoz Simge Sebnem ,L,1,0,1,2,50.00,TUR,RECEPTION,5,16,11831,1
1,9,Diken Meliha ,O,1,0,1,2,50.00,TUR,RECEPTION,5,16,11831,1
2,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
4,5,Ercan Seyma ,OH,0,0,6,6,0.00,TUR,RECEPTION,5,16,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
9,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
10,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
12,19,Kalac Asli ,MB,0,0,1,1,0.00,TUR,RECEPTION,5,16,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,5,16,11831,1
0,22,Lozo Sara ,O,13,2,28,43,25.58,SRB,RECEPTION,0,0,11831,
1,2,Lazovic Katarina (C),OH,9,2,14,25,28.00,SRB,RECEPTION,0,0,11831,
2,31,Djurdjevic Sanja ,L,8,1,12,21,33.33,SRB,RECEPTION,0,0,11831,
3,3,Caric Sara ,O,1,1,3,5,0.00,SRB,RECEPTION,0,0,11831,
4,34,Mirosavljevic Jovana ,OH,1,0,3,4,25.00,SRB,RECEPTION,0,0,11831,
5,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,0,0,11831,
6,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,0,0,11831,
7,21,Kocic Jovana ,MB,0,0,1,1,0.00,SRB,RECEPTION,0,0,11831,
8,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,0,0,11831,
9,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,0,0,11831,
10,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,0,0,11831,
11,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,0,0,11831,
12,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,0,0,11831,
13,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,0,0,11831,
0,31,Djurdjevic Sanja ,L,3,1,2,6,33.33,SRB,RECEPTION,1,21,11831,0
1,22,Lozo Sara ,O,2,1,7,10,10.00,SRB,RECEPTION,1,21,11831,0
2,2,Lazovic Katarina (C),OH,1,0,4,5,20.00,SRB,RECEPTION,1,21,11831,0
3,3,Caric Sara ,O,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
5,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
6,21,Kocic Jovana ,MB,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
8,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
9,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
10,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
11,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,RECEPTION,1,21,11831,0
0,22,Lozo Sara ,O,3,0,0,3,100.00,SRB,RECEPTION,2,25,11831,1
1,31,Djurdjevic Sanja ,L,3,0,3,6,50.00,SRB,RECEPTION,2,25,11831,1
2,2,Lazovic Katarina (C),OH,1,0,5,6,16.67,SRB,RECEPTION,2,25,11831,1
3,34,Mirosavljevic Jovana ,OH,1,0,2,3,33.33,SRB,RECEPTION,2,25,11831,1
4,3,Caric Sara ,O,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
5,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
6,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
7,21,Kocic Jovana ,MB,0,0,1,1,0.00,SRB,RECEPTION,2,25,11831,1
8,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
9,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
10,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
11,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
12,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
13,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,2,25,11831,1
0,2,Lazovic Katarina (C),OH,4,2,0,6,33.33,SRB,RECEPTION,3,23,11831,0
1,22,Lozo Sara ,O,3,1,8,12,16.67,SRB,RECEPTION,3,23,11831,0
2,3,Caric Sara ,O,0,0,1,1,0.00,SRB,RECEPTION,3,23,11831,0
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
4,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
5,21,Kocic Jovana ,MB,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
6,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
11,31,Djurdjevic Sanja ,L,0,0,2,2,0.00,SRB,RECEPTION,3,23,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,3,23,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,1,1,0.00,SRB,RECEPTION,3,23,11831,0
0,2,Lazovic Katarina (C),OH,3,0,3,6,50.00,SRB,RECEPTION,4,25,11831,1
1,22,Lozo Sara ,O,2,0,7,9,22.22,SRB,RECEPTION,4,25,11831,1
2,31,Djurdjevic Sanja ,L,1,0,5,6,16.67,SRB,RECEPTION,4,25,11831,1
3,3,Caric Sara ,O,0,0,1,1,0.00,SRB,RECEPTION,4,25,11831,1
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
5,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
6,21,Kocic Jovana ,MB,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
8,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
9,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
10,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
11,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,RECEPTION,4,25,11831,1
0,22,Lozo Sara ,O,3,0,6,9,33.33,SRB,RECEPTION,5,14,11831,0
1,3,Caric Sara ,O,1,1,1,3,0.00,SRB,RECEPTION,5,14,11831,0
2,31,Djurdjevic Sanja ,L,1,0,0,1,100.00,SRB,RECEPTION,5,14,11831,0
3,2,Lazovic Katarina (C),OH,0,0,2,2,0.00,SRB,RECEPTION,5,14,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
5,7,Jaksic Ana ,S,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
6,21,Kocic Jovana ,MB,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
8,24,Medic Sofija ,MB,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
9,25,Markovic Bozica ,MB,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
10,26,Savic Vanja ,O,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
11,28,Delic Jelena ,MB,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,RECEPTION,5,14,11831,0
0,2,Nishida Sarina ,OH,11,1,5,17,58.82,JPN,RECEPTION,0,0,11833,
1,8,Ishikawa Mayu ,OH,11,0,6,17,64.71,JPN,RECEPTION,0,0,11833,
2,5,Araki Erika (C),MB,3,0,0,3,100.00,JPN,RECEPTION,0,0,11833,
3,14,Kobata Mako ,L,1,1,4,6,0.00,JPN,RECEPTION,0,0,11833,
4,1,Kurogo Ai ,OH,0,0,0,0,,JPN,RECEPTION,0,0,11833,
5,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,RECEPTION,0,0,11833,
6,7,Ishii Yuki ,OH,0,0,0,0,,JPN,RECEPTION,0,0,11833,
7,9,Tashiro Kanami ,S,0,0,0,0,,JPN,RECEPTION,0,0,11833,
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,RECEPTION,0,0,11833,
9,15,Inoue Kotoe ,L,0,0,0,0,,JPN,RECEPTION,0,0,11833,
10,19,Yamada Nichika ,MB,0,0,0,0,,JPN,RECEPTION,0,0,11833,
11,20,Seki Nanami ,S,0,0,0,0,,JPN,RECEPTION,0,0,11833,
12,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,RECEPTION,0,0,11833,
13,24,Momii Aki ,S,0,0,0,0,,JPN,RECEPTION,0,0,11833,
0,2,Nishida Sarina ,OH,5,0,3,8,62.50,JPN,RECEPTION,1,25,11833,1
1,5,Araki Erika (C),MB,1,0,0,1,100.00,JPN,RECEPTION,1,25,11833,1
2,8,Ishikawa Mayu ,OH,1,0,1,2,50.00,JPN,RECEPTION,1,25,11833,1
3,1,Kurogo Ai ,OH,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
4,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
5,7,Ishii Yuki ,OH,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
6,9,Tashiro Kanami ,S,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
7,13,Okumura Mai ,MB,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
8,14,Kobata Mako ,L,0,0,2,2,0.00,JPN,RECEPTION,1,25,11833,1
9,15,Inoue Kotoe ,L,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
10,19,Yamada Nichika ,MB,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
11,20,Seki Nanami ,S,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
12,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
13,24,Momii Aki ,S,0,0,0,0,,JPN,RECEPTION,1,25,11833,1
0,8,Ishikawa Mayu ,OH,6,0,1,7,85.71,JPN,RECEPTION,2,25,11833,1
1,2,Nishida Sarina ,OH,5,1,1,7,57.14,JPN,RECEPTION,2,25,11833,1
2,14,Kobata Mako ,L,1,1,1,3,0.00,JPN,RECEPTION,2,25,11833,1
3,1,Kurogo Ai ,OH,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
4,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
5,5,Araki Erika (C),MB,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
6,7,Ishii Yuki ,OH,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
7,9,Tashiro Kanami ,S,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
9,15,Inoue Kotoe ,L,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
10,19,Yamada Nichika ,MB,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
11,20,Seki Nanami ,S,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
12,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
13,24,Momii Aki ,S,0,0,0,0,,JPN,RECEPTION,2,25,11833,1
0,8,Ishikawa Mayu ,OH,4,0,4,8,50.00,JPN,RECEPTION,3,25,11833,1
1,5,Araki Erika (C),MB,2,0,0,2,100.00,JPN,RECEPTION,3,25,11833,1
2,2,Nishida Sarina ,OH,1,0,1,2,50.00,JPN,RECEPTION,3,25,11833,1
3,1,Kurogo Ai ,OH,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
4,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
5,7,Ishii Yuki ,OH,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
6,9,Tashiro Kanami ,S,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
7,13,Okumura Mai ,MB,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
8,14,Kobata Mako ,L,0,0,1,1,0.00,JPN,RECEPTION,3,25,11833,1
9,15,Inoue Kotoe ,L,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
10,19,Yamada Nichika ,MB,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
11,20,Seki Nanami ,S,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
12,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
13,24,Momii Aki ,S,0,0,0,0,,JPN,RECEPTION,3,25,11833,1
0,9,Chuewulim Sutadta ,OH,8,0,13,21,38.10,THA,RECEPTION,0,0,11833,
1,15,Kanthong Malika ,O,7,1,7,15,40.00,THA,RECEPTION,0,0,11833,
2,6,Sittirak Onuma ,OH,2,0,4,6,33.33,THA,RECEPTION,0,0,11833,
3,2,Pannoy Piyanut ,L,1,3,5,9,-22.22,THA,RECEPTION,0,0,11833,
4,12,Chaisri Tapaphaipun ,L,1,0,7,8,12.50,THA,RECEPTION,0,0,11833,
5,3,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,0,0,11833,
6,5,Thinkaow Pleumjit ,MB,0,0,1,1,0.00,THA,RECEPTION,0,0,11833,
7,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,RECEPTION,0,0,11833,
8,10,Apinyapong Wilavan (C),L,0,1,6,7,-14.29,THA,RECEPTION,0,0,11833,
9,11,Hyapha Amporn ,MB,0,0,0,0,,THA,RECEPTION,0,0,11833,
10,13,Tomkom Nootsara ,S,0,0,0,0,,THA,RECEPTION,0,0,11833,
11,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,RECEPTION,0,0,11833,
12,19,Krause Karina ,MB,0,0,0,0,,THA,RECEPTION,0,0,11833,
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,RECEPTION,0,0,11833,
0,15,Kanthong Malika ,O,3,0,2,5,60.00,THA,RECEPTION,1,15,11833,0
1,9,Chuewulim Sutadta ,OH,1,0,3,4,25.00,THA,RECEPTION,1,15,11833,0
2,2,Pannoy Piyanut ,L,0,1,3,4,-25.00,THA,RECEPTION,1,15,11833,0
3,3,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,1,15,11833,0
4,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,RECEPTION,1,15,11833,0
5,6,Sittirak Onuma ,OH,0,0,0,0,,THA,RECEPTION,1,15,11833,0
6,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,RECEPTION,1,15,11833,0
7,10,Apinyapong Wilavan (C),L,0,1,6,7,-14.29,THA,RECEPTION,1,15,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,RECEPTION,1,15,11833,0
9,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,RECEPTION,1,15,11833,0
10,13,Tomkom Nootsara ,S,0,0,0,0,,THA,RECEPTION,1,15,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,RECEPTION,1,15,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,RECEPTION,1,15,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,RECEPTION,1,15,11833,0
0,15,Kanthong Malika ,O,4,1,4,9,33.33,THA,RECEPTION,2,17,11833,0
1,9,Chuewulim Sutadta ,OH,2,0,2,4,50.00,THA,RECEPTION,2,17,11833,0
2,2,Pannoy Piyanut ,L,1,2,2,5,-20.00,THA,RECEPTION,2,17,11833,0
3,3,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,2,17,11833,0
4,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,RECEPTION,2,17,11833,0
5,6,Sittirak Onuma ,OH,0,0,3,3,0.00,THA,RECEPTION,2,17,11833,0
6,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,RECEPTION,2,17,11833,0
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,RECEPTION,2,17,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,RECEPTION,2,17,11833,0
9,12,Chaisri Tapaphaipun ,L,0,0,2,2,0.00,THA,RECEPTION,2,17,11833,0
10,13,Tomkom Nootsara ,S,0,0,0,0,,THA,RECEPTION,2,17,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,RECEPTION,2,17,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,RECEPTION,2,17,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,RECEPTION,2,17,11833,0
0,9,Chuewulim Sutadta ,OH,5,0,8,13,38.46,THA,RECEPTION,3,16,11833,0
1,6,Sittirak Onuma ,OH,2,0,1,3,66.67,THA,RECEPTION,3,16,11833,0
2,12,Chaisri Tapaphaipun ,L,1,0,5,6,16.67,THA,RECEPTION,3,16,11833,0
3,2,Pannoy Piyanut ,L,0,0,0,0,,THA,RECEPTION,3,16,11833,0
4,3,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,3,16,11833,0
5,5,Thinkaow Pleumjit ,MB,0,0,1,1,0.00,THA,RECEPTION,3,16,11833,0
6,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,RECEPTION,3,16,11833,0
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,RECEPTION,3,16,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,RECEPTION,3,16,11833,0
9,13,Tomkom Nootsara ,S,0,0,0,0,,THA,RECEPTION,3,16,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,RECEPTION,3,16,11833,0
11,15,Kanthong Malika ,O,0,0,1,1,0.00,THA,RECEPTION,3,16,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,RECEPTION,3,16,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,RECEPTION,3,16,11833,0
0,9,Zhang Changning (C),OH,9,0,8,17,52.94,CHN,RECEPTION,0,0,11834,
1,19,Liu Yanhan ,OH,6,1,19,26,19.23,CHN,RECEPTION,0,0,11834,
2,15,Lin Li ,L,3,2,3,8,12.50,CHN,RECEPTION,0,0,11834,
3,18,Wang Mengjie ,L,3,0,5,8,37.50,CHN,RECEPTION,0,0,11834,
4,10,Liu Xiaotong ,OH,2,0,6,8,25.00,CHN,RECEPTION,0,0,11834,
5,4,Yang Hanyu ,MB,1,0,0,1,100.00,CHN,RECEPTION,0,0,11834,
6,22,Duan Fang ,OH,1,1,0,2,0.00,CHN,RECEPTION,0,0,11834,
7,3,Diao Linyu ,S,0,0,0,0,,CHN,RECEPTION,0,0,11834,
8,5,Gao Yi ,MB,0,0,0,0,,CHN,RECEPTION,0,0,11834,
9,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,RECEPTION,0,0,11834,
10,8,Li Yao ,OH,0,0,1,1,0.00,CHN,RECEPTION,0,0,11834,
11,11,Yao Di ,S,0,0,0,0,,CHN,RECEPTION,0,0,11834,
12,14,Zheng Yixin ,O,0,0,2,2,0.00,CHN,RECEPTION,0,0,11834,
0,9,Zhang Changning (C),OH,4,0,1,5,80.00,CHN,RECEPTION,1,23,11834,0
