,Player No,Player Name,Position,Total ABS,Attack Points,Block Points,Serve Points,Errors, Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
6,24,Geraldo Teixeira Lorenne ,O,1,1,0,0,,-6.67,BRA,SCORING,2,23,13754,0
7,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,,BRA,SCORING,2,23,13754,0
8,9,Ratzke Roberta Silva ,S,0,0,0,0,,,BRA,SCORING,2,23,13754,0
9,11,Barbosa De Souza Karina ,OH,0,0,0,0,,0.00,BRA,SCORING,2,23,13754,0
10,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,,BRA,SCORING,2,23,13754,0
11,14,Araujo Natália ,L,0,0,0,0,,,BRA,SCORING,2,23,13754,0
12,15,Viezel Lorena Giovana ,MB,0,0,0,0,,,BRA,SCORING,2,23,13754,0
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,,BRA,SCORING,2,23,13754,0
0,17,Bergmann Julia Isabelle ,OH,6,5,1,0,,16.67,BRA,SCORING,3,27,13754,1
1,4,Da Silva Ana Carolina ,MB,4,2,2,0,,0.00,BRA,SCORING,3,27,13754,1
2,16,Nascimento Kisy ,O,4,4,0,0,,23.08,BRA,SCORING,3,27,13754,1
3,2,Duarte Alecrim Diana ,MB,2,2,0,0,,25.00,BRA,SCORING,3,27,13754,1
4,5,Zalewski Daroit Priscila ,OH,2,2,0,0,,0.00,BRA,SCORING,3,27,13754,1
5,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,,BRA,SCORING,3,27,13754,1
6,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,0.00,BRA,SCORING,3,27,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,0,,,BRA,SCORING,3,27,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,0,,0.00,BRA,SCORING,3,27,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,,BRA,SCORING,3,27,13754,1
10,14,Araujo Natália ,L,0,0,0,0,,,BRA,SCORING,3,27,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,,BRA,SCORING,3,27,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,,BRA,SCORING,3,27,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,0,,-33.33,BRA,SCORING,3,27,13754,1
0,16,Nascimento Kisy ,O,5,4,1,0,,26.67,BRA,SCORING,4,25,13754,1
1,4,Da Silva Ana Carolina ,MB,4,4,0,0,,36.36,BRA,SCORING,4,25,13754,1
2,17,Bergmann Julia Isabelle ,OH,4,4,0,0,,0.00,BRA,SCORING,4,25,13754,1
3,5,Zalewski Daroit Priscila ,OH,3,3,0,0,,15.38,BRA,SCORING,4,25,13754,1
4,2,Duarte Alecrim Diana ,MB,2,1,1,0,,40.00,BRA,SCORING,4,25,13754,1
5,12,Menezes Oliveira de Souza Ana Cristina ,OH,2,2,0,0,,20.00,BRA,SCORING,4,25,13754,1
6,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,,BRA,SCORING,4,25,13754,1
7,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,0.00,BRA,SCORING,4,25,13754,1
8,9,Ratzke Roberta Silva ,S,0,0,0,0,,0.00,BRA,SCORING,4,25,13754,1
9,11,Barbosa De Souza Karina ,OH,0,0,0,0,,0.00,BRA,SCORING,4,25,13754,1
10,14,Araujo Natália ,L,0,0,0,0,,,BRA,SCORING,4,25,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,,BRA,SCORING,4,25,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,,BRA,SCORING,4,25,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,0,,,BRA,SCORING,4,25,13754,1
0,12,Thompson Jordan ,O,15,13,1,1,,18.37,USA,SCORING,0,0,13755,
1,13,Wilhite Sarah ,OH,15,10,3,2,,16.00,USA,SCORING,0,0,13755,
2,30,Frantti Alexandra ,OH,15,13,2,0,,20.00,USA,SCORING,0,0,13755,
3,6,Dixon Tetori (C),MB,6,5,0,1,,3.12,USA,SCORING,0,0,13755,
4,16,Rettke Dana ,MB,6,3,3,0,,-8.00,USA,SCORING,0,0,13755,
5,7,Carlini Lauren ,S,3,3,0,0,,-4.35,USA,SCORING,0,0,13755,
6,5,Hentz Morgan ,L,0,0,0,0,,,USA,SCORING,0,0,13755,
7,9,Rishel Madison Kingdon ,OH,0,0,0,0,,,USA,SCORING,0,0,13755,
8,10,Butler Brionne ,MB,0,0,0,0,,,USA,SCORING,0,0,13755,
9,11,Drews Andrea ,O,0,0,0,0,,,USA,SCORING,0,0,13755,
10,18,Bajema Kara ,OH,0,0,0,0,,,USA,SCORING,0,0,13755,
11,19,Gray Jenna ,S,0,0,0,0,,,USA,SCORING,0,0,13755,
12,22,White Kendall ,L,0,0,0,0,,,USA,SCORING,0,0,13755,
13,31,Stevenson Anna ,MB,0,0,0,0,,,USA,SCORING,0,0,13755,
0,12,Thompson Jordan ,O,5,4,1,0,,22.22,USA,SCORING,1,25,13755,1
1,16,Rettke Dana ,MB,4,3,1,0,,18.18,USA,SCORING,1,25,13755,1
2,30,Frantti Alexandra ,OH,4,4,0,0,,0.00,USA,SCORING,1,25,13755,1
3,13,Wilhite Sarah ,OH,3,3,0,0,,0.00,USA,SCORING,1,25,13755,1
4,6,Dixon Tetori (C),MB,2,2,0,0,,-9.09,USA,SCORING,1,25,13755,1
5,7,Carlini Lauren ,S,1,1,0,0,,0.00,USA,SCORING,1,25,13755,1
6,5,Hentz Morgan ,L,0,0,0,0,,,USA,SCORING,1,25,13755,1
7,9,Rishel Madison Kingdon ,OH,0,0,0,0,,,USA,SCORING,1,25,13755,1
8,10,Butler Brionne ,MB,0,0,0,0,,,USA,SCORING,1,25,13755,1
9,11,Drews Andrea ,O,0,0,0,0,,,USA,SCORING,1,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,0,,,USA,SCORING,1,25,13755,1
11,19,Gray Jenna ,S,0,0,0,0,,,USA,SCORING,1,25,13755,1
12,22,White Kendall ,L,0,0,0,0,,,USA,SCORING,1,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,,USA,SCORING,1,25,13755,1
0,13,Wilhite Sarah ,OH,8,4,2,2,,31.58,USA,SCORING,2,25,13755,1
1,30,Frantti Alexandra ,OH,5,4,1,0,,25.00,USA,SCORING,2,25,13755,1
2,12,Thompson Jordan ,O,3,3,0,0,,37.50,USA,SCORING,2,25,13755,1
3,6,Dixon Tetori (C),MB,2,2,0,0,,0.00,USA,SCORING,2,25,13755,1
4,16,Rettke Dana ,MB,2,0,2,0,,-18.18,USA,SCORING,2,25,13755,1
5,5,Hentz Morgan ,L,0,0,0,0,,,USA,SCORING,2,25,13755,1
6,7,Carlini Lauren ,S,0,0,0,0,,-25.00,USA,SCORING,2,25,13755,1
7,9,Rishel Madison Kingdon ,OH,0,0,0,0,,,USA,SCORING,2,25,13755,1
8,10,Butler Brionne ,MB,0,0,0,0,,,USA,SCORING,2,25,13755,1
9,11,Drews Andrea ,O,0,0,0,0,,,USA,SCORING,2,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,0,,,USA,SCORING,2,25,13755,1
11,19,Gray Jenna ,S,0,0,0,0,,,USA,SCORING,2,25,13755,1
12,22,White Kendall ,L,0,0,0,0,,,USA,SCORING,2,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,,USA,SCORING,2,25,13755,1
0,12,Thompson Jordan ,O,7,6,0,1,,8.70,USA,SCORING,3,25,13755,1
1,30,Frantti Alexandra ,OH,6,5,1,0,,35.71,USA,SCORING,3,25,13755,1
2,13,Wilhite Sarah ,OH,4,3,1,0,,10.53,USA,SCORING,3,25,13755,1
3,6,Dixon Tetori (C),MB,2,1,0,1,,20.00,USA,SCORING,3,25,13755,1
4,7,Carlini Lauren ,S,2,2,0,0,,20.00,USA,SCORING,3,25,13755,1
5,5,Hentz Morgan ,L,0,0,0,0,,,USA,SCORING,3,25,13755,1
6,9,Rishel Madison Kingdon ,OH,0,0,0,0,,,USA,SCORING,3,25,13755,1
7,10,Butler Brionne ,MB,0,0,0,0,,,USA,SCORING,3,25,13755,1
8,11,Drews Andrea ,O,0,0,0,0,,,USA,SCORING,3,25,13755,1
9,16,Rettke Dana ,MB,0,0,0,0,,-66.67,USA,SCORING,3,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,0,,,USA,SCORING,3,25,13755,1
11,19,Gray Jenna ,S,0,0,0,0,,,USA,SCORING,3,25,13755,1
12,22,White Kendall ,L,0,0,0,0,,,USA,SCORING,3,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,,USA,SCORING,3,25,13755,1
0,16,Peña Isabel Yonkaira Paola ,OH,9,9,0,0,,6.67,DOM,SCORING,0,0,13755,
1,23,Gonzalez Lopez Gaila Ceneida ,O,7,7,0,0,,2.17,DOM,SCORING,0,0,13755,
2,24,Gonzalez Geraldine Sthefany ,MB,6,4,2,0,,0.00,DOM,SCORING,0,0,13755,
3,4,Peralta Luna Vielka Michelle ,OH,5,4,1,0,,25.00,DOM,SCORING,0,0,13755,
4,7,Marte Frica Niverka Dharlenis (C),S,3,3,0,0,,14.29,DOM,SCORING,0,0,13755,
5,21,Martinez Jineiry ,MB,3,0,3,0,,15.38,DOM,SCORING,0,0,13755,
6,3,Rabit Esthefany ,L,2,1,1,0,,-22.22,DOM,SCORING,0,0,13755,
7,15,Guillen Paredes Madeline Jazmin ,OH,2,2,0,0,,-17.65,DOM,SCORING,0,0,13755,
8,17,Mambru Casilla Gina Altagracia ,O,2,2,0,0,,14.29,DOM,SCORING,0,0,13755,
9,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,,DOM,SCORING,0,0,13755,
10,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,,DOM,SCORING,0,0,13755,
11,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,,DOM,SCORING,0,0,13755,
12,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,,DOM,SCORING,0,0,13755,
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,,DOM,SCORING,0,0,13755,
0,16,Peña Isabel Yonkaira Paola ,OH,5,5,0,0,,20.00,DOM,SCORING,1,21,13755,0
1,21,Martinez Jineiry ,MB,3,0,3,0,,22.22,DOM,SCORING,1,21,13755,0
2,15,Guillen Paredes Madeline Jazmin ,OH,2,2,0,0,,-7.14,DOM,SCORING,1,21,13755,0
3,23,Gonzalez Lopez Gaila Ceneida ,O,2,2,0,0,,6.25,DOM,SCORING,1,21,13755,0
4,24,Gonzalez Geraldine Sthefany ,MB,2,1,1,0,,0.00,DOM,SCORING,1,21,13755,0
5,7,Marte Frica Niverka Dharlenis (C),S,1,1,0,0,,14.29,DOM,SCORING,1,21,13755,0
6,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,,DOM,SCORING,1,21,13755,0
7,3,Rabit Esthefany ,L,0,0,0,0,,,DOM,SCORING,1,21,13755,0
8,4,Peralta Luna Vielka Michelle ,OH,0,0,0,0,,,DOM,SCORING,1,21,13755,0
9,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,,DOM,SCORING,1,21,13755,0
10,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,,DOM,SCORING,1,21,13755,0
11,17,Mambru Casilla Gina Altagracia ,O,0,0,0,0,,,DOM,SCORING,1,21,13755,0
12,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,,DOM,SCORING,1,21,13755,0
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,,DOM,SCORING,1,21,13755,0
0,23,Gonzalez Lopez Gaila Ceneida ,O,4,4,0,0,,7.14,DOM,SCORING,2,17,13755,0
1,4,Peralta Luna Vielka Michelle ,OH,3,2,1,0,,25.00,DOM,SCORING,2,17,13755,0
2,7,Marte Frica Niverka Dharlenis (C),S,2,2,0,0,,20.00,DOM,SCORING,2,17,13755,0
3,24,Gonzalez Geraldine Sthefany ,MB,2,1,1,0,,14.29,DOM,SCORING,2,17,13755,0
4,16,Peña Isabel Yonkaira Paola ,OH,1,1,0,0,,-15.38,DOM,SCORING,2,17,13755,0
5,17,Mambru Casilla Gina Altagracia ,O,1,1,0,0,,0.00,DOM,SCORING,2,17,13755,0
6,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,,DOM,SCORING,2,17,13755,0
7,3,Rabit Esthefany ,L,0,0,0,0,,-66.67,DOM,SCORING,2,17,13755,0
8,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,,DOM,SCORING,2,17,13755,0
9,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,,DOM,SCORING,2,17,13755,0
10,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,-100.00,DOM,SCORING,2,17,13755,0
11,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,,DOM,SCORING,2,17,13755,0
12,21,Martinez Jineiry ,MB,0,0,0,0,,0.00,DOM,SCORING,2,17,13755,0
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,,DOM,SCORING,2,17,13755,0
0,16,Peña Isabel Yonkaira Paola ,OH,3,3,0,0,,11.76,DOM,SCORING,3,18,13755,0
1,3,Rabit Esthefany ,L,2,1,1,0,,0.00,DOM,SCORING,3,18,13755,0
2,4,Peralta Luna Vielka Michelle ,OH,2,2,0,0,,25.00,DOM,SCORING,3,18,13755,0
3,24,Gonzalez Geraldine Sthefany ,MB,2,2,0,0,,-14.29,DOM,SCORING,3,18,13755,0
4,17,Mambru Casilla Gina Altagracia ,O,1,1,0,0,,25.00,DOM,SCORING,3,18,13755,0
5,23,Gonzalez Lopez Gaila Ceneida ,O,1,1,0,0,,-6.25,DOM,SCORING,3,18,13755,0
6,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,,DOM,SCORING,3,18,13755,0
7,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,,DOM,SCORING,3,18,13755,0
8,7,Marte Frica Niverka Dharlenis (C),S,0,0,0,0,,0.00,DOM,SCORING,3,18,13755,0
9,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,,DOM,SCORING,3,18,13755,0
10,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,0.00,DOM,SCORING,3,18,13755,0
11,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,,DOM,SCORING,3,18,13755,0
12,21,Martinez Jineiry ,MB,0,0,0,0,,,DOM,SCORING,3,18,13755,0
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,,DOM,SCORING,3,18,13755,0
0,7,Baladin Hande ,OH,16,12,1,3,,23.81,TUR,SCORING,0,0,13757,
1,99,Karakurt Ebrar ,O,14,13,1,0,,18.60,TUR,SCORING,0,0,13757,
2,14,Erdem Dündar Eda (C),MB,10,6,3,1,,5.00,TUR,SCORING,0,0,13757,
3,6,Sahin Saliha ,OH,8,8,0,0,,13.79,TUR,SCORING,0,0,13757,
4,18,Gunes Zehra ,MB,8,6,2,0,,9.38,TUR,SCORING,0,0,13757,
5,3,Özbay Cansu ,S,1,1,0,0,,-31.25,TUR,SCORING,0,0,13757,
6,1,Arici Beyza ,MB,0,0,0,0,,,TUR,SCORING,0,0,13757,
7,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,0,0,13757,
8,5,Akbay Bahar ,MB,0,0,0,0,,,TUR,SCORING,0,0,13757,
9,9,Diken Meliha ,O,0,0,0,0,,,TUR,SCORING,0,0,13757,
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,0.00,TUR,SCORING,0,0,13757,
11,17,Caliskan Sila ,S,0,0,0,0,,0.00,TUR,SCORING,0,0,13757,
12,19,Kapucu Ceren ,O,0,0,0,0,,,TUR,SCORING,0,0,13757,
13,22,Aydin İlkin ,OH,0,0,0,0,,,TUR,SCORING,0,0,13757,
0,7,Baladin Hande ,OH,4,4,0,0,,33.33,TUR,SCORING,1,25,13757,1
1,18,Gunes Zehra ,MB,3,2,1,0,,0.00,TUR,SCORING,1,25,13757,1
2,99,Karakurt Ebrar ,O,3,3,0,0,,9.09,TUR,SCORING,1,25,13757,1
3,6,Sahin Saliha ,OH,2,2,0,0,,14.29,TUR,SCORING,1,25,13757,1
4,14,Erdem Dündar Eda (C),MB,2,2,0,0,,-7.14,TUR,SCORING,1,25,13757,1
5,3,Özbay Cansu ,S,1,1,0,0,,0.00,TUR,SCORING,1,25,13757,1
6,1,Arici Beyza ,MB,0,0,0,0,,,TUR,SCORING,1,25,13757,1
7,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,1,25,13757,1
8,5,Akbay Bahar ,MB,0,0,0,0,,,TUR,SCORING,1,25,13757,1
9,9,Diken Meliha ,O,0,0,0,0,,,TUR,SCORING,1,25,13757,1
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,0.00,TUR,SCORING,1,25,13757,1
11,17,Caliskan Sila ,S,0,0,0,0,,,TUR,SCORING,1,25,13757,1
12,19,Kapucu Ceren ,O,0,0,0,0,,,TUR,SCORING,1,25,13757,1
13,22,Aydin İlkin ,OH,0,0,0,0,,,TUR,SCORING,1,25,13757,1
0,7,Baladin Hande ,OH,7,4,1,2,,43.75,TUR,SCORING,2,25,13757,1
1,99,Karakurt Ebrar ,O,5,4,1,0,,5.88,TUR,SCORING,2,25,13757,1
2,14,Erdem Dündar Eda (C),MB,4,2,2,0,,0.00,TUR,SCORING,2,25,13757,1
3,6,Sahin Saliha ,OH,3,3,0,0,,9.09,TUR,SCORING,2,25,13757,1
