Unnamed: 0,Player No,Player Name,Position,Successful,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
8,21,Stuut Britte ,MB,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
10,24,Mulder Vera ,OH,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
12,26,Dambrink Elles ,O,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
0,5,Knollema Jolien ,OH,3,3,6,12,0.0,NED,RECEPTION,2,22,16024,0.0
1,3,Jasper Hester ,OH,2,0,4,6,33.33,NED,RECEPTION,2,22,16024,0.0
2,1,Knip Kirsten ,L,0,0,2,2,0.0,NED,RECEPTION,2,22,16024,0.0
3,10,van Aalen Sarah ,S,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
4,13,de Haan Jolijn ,O,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
5,14,Dijkema Laura (C),S,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
7,17,Vos Iris ,OH,0,0,1,1,0.0,NED,RECEPTION,2,22,16024,0.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
10,24,Mulder Vera ,OH,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,RECEPTION,2,22,16024,0.0
12,26,Dambrink Elles ,O,0,0,1,1,0.0,NED,RECEPTION,2,22,16024,0.0
13,33,Marring Nova ,OH,0,0,2,2,0.0,NED,RECEPTION,2,22,16024,0.0
0,3,Jasper Hester ,OH,1,0,4,5,20.0,NED,RECEPTION,3,25,16024,1.0
1,1,Knip Kirsten ,L,0,0,2,2,0.0,NED,RECEPTION,3,25,16024,1.0
2,5,Knollema Jolien ,OH,0,0,8,8,0.0,NED,RECEPTION,3,25,16024,1.0
3,10,van Aalen Sarah ,S,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
4,13,de Haan Jolijn ,O,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
5,14,Dijkema Laura (C),S,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
10,24,Mulder Vera ,OH,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
12,26,Dambrink Elles ,O,0,0,0,0,,NED,RECEPTION,3,25,16024,1.0
13,33,Marring Nova ,OH,0,0,2,2,0.0,NED,RECEPTION,3,25,16024,1.0
0,33,Marring Nova ,OH,2,1,6,9,11.11,NED,RECEPTION,4,22,16024,0.0
1,5,Knollema Jolien ,OH,1,1,6,8,0.0,NED,RECEPTION,4,22,16024,0.0
2,23,Timmerman Eline ,MB,1,0,0,1,100.0,NED,RECEPTION,4,22,16024,0.0
3,1,Knip Kirsten ,L,0,0,2,2,0.0,NED,RECEPTION,4,22,16024,0.0
4,3,Jasper Hester ,OH,0,0,2,2,0.0,NED,RECEPTION,4,22,16024,0.0
5,10,van Aalen Sarah ,S,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
6,13,de Haan Jolijn ,O,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
7,14,Dijkema Laura (C),S,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
8,16,Baijens Indy ,MB,0,0,1,1,0.0,NED,RECEPTION,4,22,16024,0.0
9,17,Vos Iris ,OH,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
10,21,Stuut Britte ,MB,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
11,24,Mulder Vera ,OH,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
13,26,Dambrink Elles ,O,0,0,0,0,,NED,RECEPTION,4,22,16024,0.0
0,16,D'Odorico Sofia ,OH,6,0,17,23,26.09,ITA,RECEPTION,0,0,16026,
1,20,Parrocchiale Beatrice ,L,6,0,18,24,25.0,ITA,RECEPTION,0,0,16026,
2,21,Omoruyi Oghosasere Loveth ,OH,6,1,25,32,15.62,ITA,RECEPTION,0,0,16026,
3,2,Degradi Alice Carlotta ,OH,4,1,18,23,13.04,ITA,RECEPTION,0,0,16026,
4,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,0,0,16026,
5,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,0,0,16026,
6,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,0,0,16026,
7,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,0,0,16026,
8,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,0,0,16026,
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,0,0,16026,
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,0,0,16026,
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,0,0,16026,
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,0,0,16026,
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,0,0,16026,
0,2,Degradi Alice Carlotta ,OH,3,0,7,10,30.0,ITA,RECEPTION,1,24,16026,0.0
1,20,Parrocchiale Beatrice ,L,2,0,4,6,33.33,ITA,RECEPTION,1,24,16026,0.0
2,21,Omoruyi Oghosasere Loveth ,OH,1,0,6,7,14.29,ITA,RECEPTION,1,24,16026,0.0
3,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
5,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
6,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
7,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
8,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,1,24,16026,0.0
0,21,Omoruyi Oghosasere Loveth ,OH,2,1,4,7,14.29,ITA,RECEPTION,2,25,16026,1.0
1,20,Parrocchiale Beatrice ,L,1,0,2,3,33.33,ITA,RECEPTION,2,25,16026,1.0
2,2,Degradi Alice Carlotta ,OH,0,0,3,3,0.0,ITA,RECEPTION,2,25,16026,1.0
3,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
5,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
6,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
7,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
8,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,2,25,16026,1.0
0,16,D'Odorico Sofia ,OH,3,0,3,6,50.0,ITA,RECEPTION,3,27,16026,0.0
1,20,Parrocchiale Beatrice ,L,2,0,4,6,33.33,ITA,RECEPTION,3,27,16026,0.0
2,2,Degradi Alice Carlotta ,OH,1,1,7,9,0.0,ITA,RECEPTION,3,27,16026,0.0
3,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
5,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
6,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
7,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
10,21,Omoruyi Oghosasere Loveth ,OH,0,0,6,6,0.0,ITA,RECEPTION,3,27,16026,0.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,3,27,16026,0.0
0,16,D'Odorico Sofia ,OH,2,0,10,12,16.67,ITA,RECEPTION,4,30,16026,1.0
1,21,Omoruyi Oghosasere Loveth ,OH,2,0,7,9,22.22,ITA,RECEPTION,4,30,16026,1.0
2,20,Parrocchiale Beatrice ,L,1,0,4,5,20.0,ITA,RECEPTION,4,30,16026,1.0
3,2,Degradi Alice Carlotta ,OH,0,0,1,1,0.0,ITA,RECEPTION,4,30,16026,1.0
4,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
5,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
6,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
7,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
8,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,4,30,16026,1.0
0,16,D'Odorico Sofia ,OH,1,0,4,5,20.0,ITA,RECEPTION,5,15,16026,1.0
1,21,Omoruyi Oghosasere Loveth ,OH,1,0,2,3,33.33,ITA,RECEPTION,5,15,16026,1.0
2,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
3,4,Bosio Francesca ,S,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
5,11,Danesi Anna ,MB,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
6,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
7,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,4,4,0.0,ITA,RECEPTION,5,15,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,RECEPTION,5,15,16026,1.0
0,2,Pannoy Piyanut (C),L,10,1,11,22,40.91,THA,RECEPTION,0,0,16026,
1,19,Moksri Chatchu-On ,OH,7,6,31,44,2.27,THA,RECEPTION,0,0,16026,
2,18,Kongyot Ajcharaporn ,OH,6,0,16,22,27.27,THA,RECEPTION,0,0,16026,
3,17,Janthawisut Sasipapron ,OH,3,0,11,14,21.43,THA,RECEPTION,0,0,16026,
4,16,Kokram Pimpichaya ,O,1,0,0,1,100.0,THA,RECEPTION,0,0,16026,
5,1,Srithong Wipawee ,OH,0,0,1,1,0.0,THA,RECEPTION,0,0,16026,
6,3,Guedpard Pornpun ,S,0,0,0,0,,THA,RECEPTION,0,0,16026,
7,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,RECEPTION,0,0,16026,
8,5,Nuekjang Thatdao ,MB,0,0,1,1,0.0,THA,RECEPTION,0,0,16026,
9,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,THA,RECEPTION,0,0,16026,
10,20,Pairoj Supattra ,L,0,0,1,1,0.0,THA,RECEPTION,0,0,16026,
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,RECEPTION,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,0,1,1,0.0,THA,RECEPTION,0,0,16026,
0,2,Pannoy Piyanut (C),L,3,0,3,6,50.0,THA,RECEPTION,1,26,16026,1.0
1,19,Moksri Chatchu-On ,OH,2,1,8,11,9.09,THA,RECEPTION,1,26,16026,1.0
2,16,Kokram Pimpichaya ,O,1,0,0,1,100.0,THA,RECEPTION,1,26,16026,1.0
3,18,Kongyot Ajcharaporn ,OH,1,0,3,4,25.0,THA,RECEPTION,1,26,16026,1.0
4,1,Srithong Wipawee ,OH,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
5,3,Guedpard Pornpun ,S,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
6,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
7,5,Nuekjang Thatdao ,MB,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
8,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
9,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,RECEPTION,1,26,16026,1.0
0,2,Pannoy Piyanut (C),L,2,0,1,3,66.67,THA,RECEPTION,2,17,16026,0.0
1,18,Kongyot Ajcharaporn ,OH,2,0,8,10,20.0,THA,RECEPTION,2,17,16026,0.0
2,1,Srithong Wipawee ,OH,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
3,3,Guedpard Pornpun ,S,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
4,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
5,5,Nuekjang Thatdao ,MB,0,0,1,1,0.0,THA,RECEPTION,2,17,16026,0.0
6,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
7,16,Kokram Pimpichaya ,O,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
8,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
9,19,Moksri Chatchu-On ,OH,0,2,4,6,-33.33,THA,RECEPTION,2,17,16026,0.0
10,20,Pairoj Supattra ,L,0,0,1,1,0.0,THA,RECEPTION,2,17,16026,0.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,2,17,16026,0.0
13,99,Bundasak Jarasporn ,MB,0,0,1,1,0.0,THA,RECEPTION,2,17,16026,0.0
0,2,Pannoy Piyanut (C),L,3,1,3,7,28.57,THA,RECEPTION,3,29,16026,1.0
1,18,Kongyot Ajcharaporn ,OH,2,0,4,6,33.33,THA,RECEPTION,3,29,16026,1.0
2,19,Moksri Chatchu-On ,OH,1,1,3,5,0.0,THA,RECEPTION,3,29,16026,1.0
3,1,Srithong Wipawee ,OH,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
4,3,Guedpard Pornpun ,S,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
5,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
6,5,Nuekjang Thatdao ,MB,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
7,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
8,16,Kokram Pimpichaya ,O,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
9,17,Janthawisut Sasipapron ,OH,0,0,8,8,0.0,THA,RECEPTION,3,29,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,RECEPTION,3,29,16026,1.0
0,19,Moksri Chatchu-On ,OH,4,0,9,13,30.77,THA,RECEPTION,4,28,16026,0.0
1,17,Janthawisut Sasipapron ,OH,2,0,2,4,50.0,THA,RECEPTION,4,28,16026,0.0
2,2,Pannoy Piyanut (C),L,1,0,4,5,20.0,THA,RECEPTION,4,28,16026,0.0
